name_cs;name_ak;price_cs;price_ak;kargo_ak;com_count_cs;note_cs
Kişiye Özel İsimli Orjinal Akik Taşı Tesbih;2 Adet Plakalık Kişiye Özel, İsimli, İsme Özel;99.00;19;+13,00 TL kargo;396;Aynı Gün Teslimat Seçeneği
Kişiye Özel İsimli Orjinal Akik Taşı Tesbih;Kişiye Özel Baş Harfli İsimli Siyah Benzinli Metal Çakmak-2;99.00;19;+13,00 TL kargo;396;Aynı Gün Teslimat Seçeneği
Kişiye Özel Akik Taşı İsimli Tesbih Ahşap Kutulu;KİŞİYE ÖZEL İSİMLİ AKİK DOĞAL TAŞLI BAYAN BİLEKLİK KALPLİ;99.90;49;Ücretsiz kargo;173;Aynı Gün Teslimat Seçeneği
Kişiye Özel Akik Taşı İsimli Tesbih Ahşap Kutulu;Kişiye Özel Harf Uçlu Karnelyan Akik Doğal Tespih ve Çakmak Seti;99.90;49;Ücretsiz kargo;173;Aynı Gün Teslimat Seçeneği
name_cs;name_ak;price_cs;price_ak;kargo_ak;com_count_cs;note_cs
Kişiye Özel İsimli Orjinal Akik Taşı Tesbih;2 Adet Plakalık Kişiye Özel, İsimli, İsme Özel;99.00;19;0;396;Aynı Gün Teslimat Seçeneği
Kişiye Özel İsimli Orjinal Akik Taşı Tesbih;Kişiye Özel Baş Harfli İsimli Siyah Benzinli Metal Çakmak-2;99.00;19;0;396;Aynı Gün Teslimat Seçeneği
Kişiye Özel Akik Taşı İsimli Tesbih Ahşap Kutulu;KİŞİYE ÖZEL İSİMLİ AKİK DOĞAL TAŞLI BAYAN BİLEKLİK KALPLİ;99.90;49;0;173;Aynı Gün Teslimat Seçeneği
Kişiye Özel Akik Taşı İsimli Tesbih Ahşap Kutulu;Kişiye Özel Harf Uçlu Karnelyan Akik Doğal Tespih ve Çakmak Seti;99.90;49;0;173;Aynı Gün Teslimat Seçeneği
